day	hour	value
1	1	12
1	2	2
1	3	3
1	4	4
1	5	4
1	6	1
1	7	3
1	8	4
1	9	3
1	10	1
1	11	3
1	12	3
1	13	4
1	14	1
1	15	3
1	16	2
1	17	6
1	18	4
1	19	2
1	20	3
1	21	6
1	22	5
1	23	3
1	24	4
2	1	15
2	2	5
2	3	6
2	4	3
2	5	2
2	6	2
2	7	1
2	8	6
2	9	4
2	10	3
2	11	5
2	12	5
2	13	5
2	14	4
2	15	9
2	16	5
2	17	6
2	18	4
2	19	5
2	20	4
2	21	3
2	22	4
2	23	5
2	24	3
3	1	17
3	2	2
3	3	4
3	4	2
3	5	2
3	6	3
3	7	2
3	8	4
3	9	1
3	10	1
3	11	8
3	12	1
3	13	1
3	14	7
3	15	4
3	16	4
3	17	6
3	18	8
3	19	2
3	20	6
3	21	6
3	22	4
3	23	9
3	24	4
4	1	10
4	2	3
4	3	6
4	4	5
4	5	2
4	6	1
4	7	1
4	8	2
4	9	4
4	10	6
4	11	6
4	12	4
4	13	1
4	14	4
4	15	7
4	16	3
4	17	7
4	18	7
4	19	4
4	20	6
4	21	4
4	22	2
4	23	3
4	24	3
5	1	11
5	2	8
5	3	2
5	4	0
5	5	2
5	6	2
5	7	6
5	8	4
5	9	0
5	10	0
5	11	2
5	12	8
5	13	7
5	14	5
5	15	4
5	16	6
5	17	0
5	18	6
5	19	6
5	20	1
5	21	3
5	22	3
5	23	5
5	24	3
6	1	8
6	2	4
6	3	4
6	4	8
6	5	9
6	6	5
6	7	9
6	8	4
6	9	3
6	10	7
6	11	5
6	12	0
6	13	4
6	14	0
6	15	9
6	16	4
6	17	6
6	18	4
6	19	3
6	20	2
6	21	5
6	22	1
6	23	4
6	24	5
7	1	7
7	2	5
7	3	6
7	4	12
7	5	11
7	6	6
7	7	5
7	8	4
7	9	4
7	10	0
7	11	3
7	12	3
7	13	2
7	14	3
7	15	5
7	16	6
7	17	3
7	18	3
7	19	2
7	20	4
7	21	2
7	22	6
7	23	2
7	24	7
